                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.54513,                0.78496,                0.85826,                0.95004,                0.16198,                0.20979,                0.16218,                 0.1332,                0.16198,                0.20979,                0.16124,                0.12223,                0.96995,                 2.5196,                 3.2878,                 1.1733,             0.00072775,             0.00072775,             0.00072775
                     58,                0.54592,                0.76532,                0.79791,                0.93366,                0.17532,                0.19562,                0.13377,                0.11345,                0.17532,                0.19562,                0.13583,                0.11042,                0.94522,                 2.5287,                 3.3544,                 1.1972,              0.0007228,              0.0007228,              0.0007228
                     59,                 0.5338,                0.77498,                0.81576,                0.93239,                0.17275,                0.21199,                0.12955,                0.10981,                0.17275,                0.21199,                0.12945,                0.11077,                0.99149,                  2.533,                 3.2368,                 1.2299,             0.00071785,             0.00071785,             0.00071785
                     60,                0.59256,                0.83263,                0.88723,                0.95583,                0.14969,                0.19153,                 0.1344,                0.11309,                0.14972,                0.19163,                0.13484,                0.11062,                0.90623,                  2.458,                 3.2166,                 1.1652,              0.0007129,              0.0007129,              0.0007129
                     61,                 0.5448,                0.71904,                0.81687,                0.93426,                0.16267,                0.24106,                0.14886,                 0.1176,                0.15223,                0.22916,                0.14136,                0.11723,                 0.9062,                 2.5295,                 3.2242,                 1.1708,             0.00070795,             0.00070795,             0.00070795
                     62,                0.50485,                0.69427,                0.77529,                0.92337,                0.09839,                0.19259,                0.16489,                0.14463,                0.09839,                0.19259,                0.16532,                0.14049,                0.89665,                  2.719,                 3.1824,                 1.1424,               0.000703,               0.000703,               0.000703
                     63,                0.52917,                0.75887,                0.83057,                0.93014,                0.14246,                0.20351,                0.13216,                0.11357,                0.14246,                0.20351,                0.13254,                0.11625,                0.91937,                 2.7974,                  3.418,                 1.1405,             0.00069805,             0.00069805,             0.00069805
                     64,                0.51331,                 0.7269,                0.81032,                0.92706,                0.18019,                0.19126,                 0.1263,                0.09596,                0.18058,                0.19082,                  0.127,                0.09792,                 0.9676,                 3.0734,                  3.407,                 1.1388,              0.0006931,              0.0006931,              0.0006931
                     65,                  0.544,                0.81091,                0.81382,                0.94361,                0.17256,                0.23625,                 0.1898,                0.15346,                0.17023,                0.23261,                0.18779,                0.15335,                0.91057,                 2.9233,                 3.1711,                 1.1259,             0.00068815,             0.00068815,             0.00068815
                     66,                0.51552,                0.78618,                0.81363,                0.93667,                0.22463,                0.23969,                0.15411,                0.11966,                0.22463,                0.23969,                0.15206,                0.11456,                0.88359,                 2.7514,                 3.1029,                  1.143,              0.0006832,              0.0006832,              0.0006832
                     67,                0.51966,                 0.7316,                0.79305,                0.93945,                0.22091,                0.24339,                0.16509,                0.12874,                0.22091,                0.24339,                0.16383,                0.13475,                 0.9004,                 2.4291,                 3.1907,                 1.1221,             0.00067825,             0.00067825,             0.00067825
                     68,                0.52442,                0.76213,                0.75182,                0.92051,                0.18028,                0.24815,                0.15258,                0.12381,                0.18028,                0.24815,                0.15248,                0.13034,                0.94813,                 2.7341,                 3.1843,                 1.1551,              0.0006733,              0.0006733,              0.0006733
                     69,                0.50998,                 0.7389,                0.72671,                 0.9223,                0.12592,                0.20159,                0.13599,                0.10559,                0.12592,                0.20159,                0.13617,                0.10615,                 1.0157,                 2.8627,                 3.3237,                 1.1792,             0.00066835,             0.00066835,             0.00066835
                     70,                0.51996,                0.74844,                0.71819,                0.92343,                 0.1516,                0.17056,                0.12891,                0.10781,                0.16008,                0.17679,                0.13468,                0.10972,                  0.974,                 2.9314,                 3.5228,                 1.1442,              0.0006634,              0.0006634,              0.0006634
                     71,                0.53474,                0.74374,                0.72109,                0.91761,                 0.1738,                0.21682,                0.15552,                0.13768,                 0.1738,                0.21682,                0.15583,                0.13255,                0.90261,                 3.1199,                 3.2379,                 1.1183,             0.00065845,             0.00065845,             0.00065845
                     72,                 0.5347,                0.73329,                0.74927,                  0.915,                0.19329,                0.21093,                 0.1472,                0.12321,                0.18483,                0.20338,                0.14641,                0.11854,                0.86789,                 3.2283,                 3.1328,                 1.1012,              0.0006535,              0.0006535,              0.0006535
                     73,                0.50757,                0.72429,                0.71961,                0.92935,                0.22209,                0.17004,                0.14715,                0.10987,                0.20258,                0.14657,                0.13202,                0.11017,                0.96476,                  3.117,                 3.2288,                  1.177,             0.00064855,             0.00064855,             0.00064855
                     74,                0.51511,                0.72888,                0.73836,                0.92085,                 0.1954,                0.22097,                0.18385,                0.13281,                0.17643,                0.19716,                0.17506,                0.13174,                 1.0637,                 3.2583,                 3.1825,                  1.225,              0.0006436,              0.0006436,              0.0006436
                     75,                0.52158,                0.76303,                0.73193,                0.92275,                0.21007,                0.14868,                0.13955,                0.11127,                0.21007,                0.14868,                0.13586,                0.10992,                 1.0081,                 2.9512,                  3.409,                 1.1882,             0.00063865,             0.00063865,             0.00063865
                     76,                0.54699,                0.72282,                0.77955,                0.92737,                0.28691,                0.15288,                 0.1388,                0.11064,                0.28691,                0.15288,                 0.1289,                0.10862,                0.91467,                  2.665,                 3.3819,                 1.1336,              0.0006337,              0.0006337,              0.0006337
                     77,                0.48964,                0.64767,                0.68643,                0.91156,                0.17719,                 0.1967,                0.13724,                0.11727,                0.17719,                 0.1967,                0.13653,                0.11169,                0.89196,                 2.6715,                 3.4958,                 1.1172,             0.00062875,             0.00062875,             0.00062875
                     78,                0.49245,                0.70061,                0.69307,                0.91505,                0.21617,                 0.1949,                0.17417,                0.14638,                0.21606,                0.19431,                0.17045,                0.12469,                0.87531,                 2.6314,                 3.5125,                 1.1267,              0.0006238,              0.0006238,              0.0006238
                     79,                0.49111,                0.68957,                0.66354,                0.90197,                0.23033,                0.19571,                0.17606,                0.14758,                0.23033,                0.19571,                0.17371,                0.13441,                0.87096,                 2.3387,                 3.4937,                  1.102,             0.00061885,             0.00061885,             0.00061885
                     80,                0.48457,                0.68723,                0.68738,                0.91192,                0.26747,                0.21296,                0.15684,                0.12757,                0.26747,                0.21296,                0.15642,                0.12587,                0.94669,                 2.1031,                 3.5123,                 1.1455,              0.0006139,              0.0006139,              0.0006139
                     81,                0.47461,                0.65529,                0.68896,                0.90972,                0.22224,                0.24386,                0.18545,                 0.1528,                0.22224,                0.24386,                0.17969,                0.14743,                0.96962,                 2.3982,                 3.1303,                 1.1212,             0.00060895,             0.00060895,             0.00060895
                     82,                0.48762,                0.66854,                 0.6741,                0.91663,                0.19527,                0.28023,                0.18869,                0.15377,                0.19527,                0.28023,                0.18531,                0.15064,                0.94397,                 2.4263,                 3.0382,                  1.114,               0.000604,               0.000604,               0.000604
                     83,                 0.4905,                0.65832,                0.64559,                0.89425,                0.15583,                0.22277,                0.17227,                0.13674,                0.15583,                0.22277,                0.16987,                0.12661,                0.97796,                 2.6953,                 3.2906,                 1.1293,             0.00059905,             0.00059905,             0.00059905
                     84,                0.49884,                0.67322,                0.69056,                 0.9061,                0.24096,                0.22597,                 0.1499,                0.12816,                0.24096,                0.22597,                 0.1501,                0.11916,                0.95056,                 2.8852,                 3.3786,                 1.1347,              0.0005941,              0.0005941,              0.0005941
                     85,                0.47305,                0.65706,                0.64891,                0.91559,                0.15906,                0.17441,                 0.1546,                 0.1286,                0.15906,                0.17441,                0.15539,                0.12358,                 1.0073,                 2.9619,                  3.391,                 1.1888,             0.00058915,             0.00058915,             0.00058915
                     86,                0.47954,                0.64601,                0.65133,                0.91565,                0.18958,                0.13862,                0.16338,                0.12816,                0.18958,                0.13862,                0.16229,                 0.1318,                0.96411,                 3.0397,                  3.454,                 1.1964,              0.0005842,              0.0005842,              0.0005842
                     87,                0.47886,                0.63904,                0.64956,                0.91213,                0.11653,                0.13828,                0.11418,                 0.0886,                0.11653,                0.13828,                0.11591,                0.09114,                0.93864,                 2.7399,                 3.6753,                 1.1665,             0.00057925,             0.00057925,             0.00057925
